사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2018-04,1호선,0150,서울역,1113,42,11558,9091,15423,58120,41039,113192,74753,231992,54618,160474,61077,82098,81171,77311,91583,82334,92845,85187,78649,82139,105160,83934,113149,86692,151173,94129,234282,101906,136645,81887,96892,56543,102661,52473,72172,40222,31022,22354,4629,8048,5,467,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0151,시청,78,1,2314,4402,3833,26295,7950,73244,10817,186921,13943,81059,16655,45088,22793,41247,24897,37656,31846,41072,38098,34750,47347,29938,53014,26523,73504,26926,148399,28997,74628,17095,57036,9503,59857,8652,39064,7147,14347,4676,1088,1373,1,8,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0152,종각,89,0,4218,5091,5191,32394,7903,104477,13314,270627,16891,155488,21817,75577,33237,67449,40244,63030,54677,65314,64238,55625,75478,48857,84825,49744,124886,57273,235632,76478,130565,52483,106372,20784,126937,13233,103385,9170,47884,6166,4070,1557,0,3,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0153,종로3가,139,11,5563,2637,4355,12815,6930,29951,11657,85469,16747,94100,25699,78771,39708,83910,52155,83433,65806,84552,75485,77070,82600,63154,88733,54381,96688,53631,122655,59948,95702,40032,68611,16447,75214,12056,62642,9200,28000,6330,3376,2706,1,53,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0154,종로5가,64,2,2236,3682,3176,17695,5959,44945,9938,121387,14399,78595,23488,63140,34570,67184,44707,63631,56175,59259,64908,56488,68914,48727,70612,42645,81721,39110,116845,37895,74158,25200,47648,11830,41231,8279,30368,5990,11690,4088,1018,1106,0,10,1,2,0,0,2018-05-03 13:30:17
2018-04,1호선,0155,동대문,635,7,15415,2276,12939,9075,20527,15951,27971,34783,25318,32833,22491,33481,23592,38116,29107,36665,32188,36832,33180,35521,33616,33400,33011,31316,33936,32260,34955,32443,25177,33434,19853,26635,18582,20801,17002,17865,9467,14391,1117,4779,1,77,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0156,신설동,253,12,8867,2419,11396,8091,23082,30989,31159,76535,23954,43476,21732,27506,23728,24592,25737,23265,27860,24837,27934,22987,30014,24059,33174,23921,42426,29701,69197,30840,32601,26393,21336,17484,19755,17040,15039,16875,6774,12247,641,3020,1,3,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0157,제기동,386,4,5105,2336,10305,9103,24933,20888,34428,53605,26332,41615,28163,43317,36450,55144,43900,62906,49859,67566,57304,62042,65805,51049,65310,40128,56840,32459,54536,31509,29794,25900,18075,15125,13840,13371,9499,12718,3939,9178,261,2082,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0158,청량리(서울시립대입구),1236,39,12858,4020,20126,14704,49983,25541,68167,46726,46639,46232,38573,44825,42526,50973,48361,56597,51287,64311,55117,63821,62139,59767,68389,56110,65881,57916,59900,70980,40402,56908,33143,35143,26144,31157,18365,31427,8740,21222,543,7072,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,1호선,0159,동묘앞,102,3,3566,892,4173,3673,7900,12171,10295,31114,10579,20028,11552,21013,15849,27740,21026,30946,28232,36161,34253,33864,37090,29273,36252,22868,34802,18359,31573,13552,16148,9902,8814,6996,7608,7357,5427,7551,2688,5293,235,3338,7,233,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0201,시청,84,4,1361,1847,2436,19182,6033,76514,9388,234450,12587,88324,17698,31122,24798,28944,25312,26578,31237,31503,35382,28455,41455,24631,47587,23335,74601,23536,182335,25961,80175,15628,52395,8813,49311,7908,33643,7497,14019,5368,2151,1695,2,83,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0202,을지로입구,116,9,3343,4217,3816,39663,9793,137913,17621,332208,24740,160887,32497,90884,42958,95720,49598,72766,64542,77416,73147,68898,88034,66549,103391,66022,137214,69792,291435,78441,168014,52852,151782,29885,125494,23788,90171,19891,43181,12485,5130,4347,4,1127,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0203,을지로3가,8,0,1146,1669,2721,17289,5784,69941,11863,157839,16151,82762,20373,39354,23333,31991,24954,26387,29187,28969,33126,26474,36717,23845,40772,23825,64070,24397,133944,27724,71289,18517,44374,10374,43367,9619,31891,8556,16198,6351,2868,1733,1,71,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0204,을지로4가,4,0,926,1069,1840,12772,3557,24941,6711,78072,10561,44009,13335,26698,16230,25437,18816,23434,21289,22028,24584,21167,27254,19834,30494,17137,42549,15816,71518,13193,43369,9271,19025,5800,14804,5526,10402,5680,4626,4180,981,1202,0,29,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0205,동대문역사문화공원,326,3,11740,1135,7592,11787,9391,30266,14767,66678,16094,41760,17243,37075,21333,36578,25686,37280,28760,40911,32939,39072,40667,36499,51770,35583,53351,38444,63549,44990,48652,53993,37350,39136,36333,29391,33154,23257,22058,14837,3541,4979,2,107,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0206,신당,67,0,6809,1466,13993,11013,31500,20096,46974,47134,29330,28455,22110,21275,21683,21796,23799,22333,25159,25232,25529,25354,26504,27070,29883,29384,32684,35342,40526,46906,28639,39044,20813,24557,19278,23001,14502,22849,7358,15231,1256,5083,3,23,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0207,상왕십리,32,4,5944,1188,15061,5326,42763,12660,66400,42781,34431,20942,23519,14990,21329,12829,21679,14291,21987,17043,19237,17549,18981,19717,21023,24136,24030,29594,31740,44809,23046,39226,14784,26161,13021,24467,9953,25163,4093,16425,564,5901,2,15,3,4,0,0,2018-05-03 13:30:17
